,accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index,dataset,finetune,type
468,0.6104417670682731,0.07475806027650833,0.13164617121219635,0.4348633885383606,0.5567405101138945,11,77.0,4,1,decoder_neo_pretr_orig,orig,yes,decoder
469,0.6024096385542168,0.06911744922399521,0.16352371871471405,0.48494699597358704,0.6125535874799946,12,85.0,4,1,decoder_neo_pretr_orig,orig,yes,decoder
470,0.6144578313253012,0.13709303736686707,0.2625328004360199,0.5277338027954102,0.6416406091084947,13,92.0,4,1,decoder_neo_pretr_orig,orig,yes,decoder
471,0.5381526104417671,0.0,0.0,0.3200361430644989,0.5098975203768085,1,0.0,1,1,enc_base_orig,orig,no,encoder
472,0.5823293172690763,-0.0055722808465361595,0.011078136041760445,0.33330482244491577,0.5166491856708321,2,8.0,1,1,enc_base_orig,orig,no,encoder
473,0.6265060240963856,0.0035552845802158117,0.07761136442422867,0.4130997061729431,0.5345351898950159,3,15.0,2,2,enc_base_orig,orig,no,encoder
474,0.6626506024096386,0.0041052065789699554,0.0742124617099762,0.3907204866409302,0.5258517366233403,4,23.0,2,2,enc_base_orig,orig,no,encoder
475,0.5341365461847389,0.04893989488482475,0.12727369368076324,0.4308103024959564,0.5646737293487416,5,31.0,2,1,enc_base_orig,orig,no,encoder
476,0.5542168674698795,0.10513319075107574,0.1828719675540924,0.41948771476745605,0.569005576423839,6,38.0,3,1,enc_base_orig,orig,no,encoder
477,0.5381526104417671,0.09439824521541595,0.19636885821819305,0.45294201374053955,0.5829422579892938,7,46.0,3,1,enc_base_orig,orig,no,encoder
478,0.5461847389558233,0.06991954147815704,0.18337032198905945,0.40718165040016174,0.5826120869350032,8,54.0,3,1,enc_base_orig,orig,no,encoder
479,0.5662650602409639,0.0642690658569336,0.16540205478668213,0.42753109335899353,0.5709112693574397,9,62.0,4,1,enc_base_orig,orig,no,encoder
480,0.5742971887550201,0.06915684789419174,0.13961876928806305,0.4197976291179657,0.5750633594686092,10,69.0,4,1,enc_base_orig,orig,no,encoder
481,0.5502008032128514,0.04598914831876755,0.1206156387925148,0.39201194047927856,0.5665566647706872,11,77.0,4,1,enc_base_orig,orig,no,encoder
482,0.5502008032128514,0.0474683903157711,0.1216306984424591,0.40848904848098755,0.5579937931328438,12,85.0,4,1,enc_base_orig,orig,no,encoder
483,0.5582329317269076,0.000951560097746551,0.006096361670643091,0.32783621549606323,0.5097589588163827,13,92.0,4,1,enc_base_orig,orig,no,encoder
484,0.5381526104417671,0.0,0.0,0.3200327157974243,0.5098979411092895,1,0.0,1,1,enc_large_orig,orig,no,encoder
485,0.570281124497992,-0.0011375660542398691,0.003583234269171953,0.33979272842407227,0.5136604529560458,2,4.0,1,1,enc_large_orig,orig,no,encoder
486,0.5381526104417671,0.004770094528794289,0.0242219939827919,0.3561505675315857,0.5117118427375494,3,8.0,1,1,enc_large_orig,orig,no,encoder
487,0.6345381526104418,0.006205058190971613,0.019145198166370392,0.3576973080635071,0.5140977354961879,4,12.0,1,2,enc_large_orig,orig,no,encoder
488,0.5662650602409638,0.0030397751834243536,0.027520980685949326,0.3595956563949585,0.5193925119897185,5,16.0,1,1,enc_large_orig,orig,no,encoder
489,0.642570281124498,0.0038575311191380024,0.015833906829357147,0.3463982343673706,0.5142232050203598,6,20.0,2,2,enc_large_orig,orig,no,encoder
490,0.6345381526104418,0.017731595784425735,0.03431710600852966,0.37201038002967834,0.5207220550517799,7,24.0,2,2,enc_large_orig,orig,no,encoder
491,0.5180722891566265,-0.0024272832088172436,0.012676353566348553,0.34529852867126465,0.5164802721275251,8,28.0,2,1,enc_large_orig,orig,no,encoder
492,0.6265060240963856,0.009529470466077328,0.022203020751476288,0.3544597327709198,0.5143842117125657,9,32.0,2,2,enc_large_orig,orig,no,encoder
493,0.5783132530120482,0.019228219985961914,0.042036909610033035,0.38432052731513977,0.5361717480162631,10,36.0,2,1,enc_large_orig,orig,no,encoder
494,0.5943775100401606,0.007110937498509884,0.02427864633500576,0.36463040113449097,0.515605966483347,11,40.0,2,1,enc_large_orig,orig,no,encoder
495,0.5261044176706827,0.01110414881259203,0.04139726236462593,0.36395564675331116,0.5334048866876725,12,44.0,3,1,enc_large_orig,orig,no,encoder
496,0.6184738955823293,0.012419970706105232,0.05478808283805847,0.3810281455516815,0.5390152456476105,13,48.0,3,1,enc_large_orig,orig,no,encoder
497,0.6827309236947792,0.02871539071202278,0.08463998138904572,0.4317302703857422,0.5518948028119577,14,52.0,3,2,enc_large_orig,orig,no,encoder
498,0.6024096385542168,0.04649464786052704,0.14545361697673798,0.44675397872924805,0.5734275789866164,15,56.0,3,1,enc_large_orig,orig,no,encoder
499,0.5542168674698795,0.07983320206403732,0.17610619962215424,0.47387611865997314,0.5979701853217432,16,60.0,3,1,enc_large_orig,orig,no,encoder
500,0.5542168674698795,0.07061093300580978,0.20067323744297028,0.46536436676979065,0.6036502802844068,17,64.0,3,1,enc_large_orig,orig,no,encoder
501,0.5622489959839357,0.12204571068286896,0.2658390998840332,0.4947860538959503,0.6111197162739059,18,68.0,4,1,enc_large_orig,orig,no,encoder
502,0.5542168674698795,0.08213822543621063,0.2508467137813568,0.4958147406578064,0.6034856828747237,19,72.0,4,1,enc_large_orig,orig,no,encoder
503,0.5742971887550201,0.05192476883530617,0.20143556594848633,0.4551122188568115,0.5914172319409151,20,76.0,4,1,enc_large_orig,orig,no,encoder
504,0.6265060240963856,0.04764100909233093,0.20118284225463867,0.48965132236480713,0.6084559319047276,21,80.0,4,2,enc_large_orig,orig,no,encoder
505,0.6345381526104418,0.061692263931035995,0.1670742630958557,0.4797271490097046,0.5941497541064362,22,84.0,4,2,enc_large_orig,orig,no,encoder
506,0.6224899598393574,0.07264280319213867,0.14878669381141663,0.434696763753891,0.5809775200352059,23,88.0,4,1,enc_large_orig,orig,no,encoder
507,0.6144578313253012,0.06651856005191803,0.11935210227966309,0.4196617901325226,0.5674364961723619,24,92.0,4,1,enc_large_orig,orig,no,encoder
508,0.5863453815261044,0.024961093440651894,0.07681257277727127,0.39594700932502747,0.5474345885466068,25,96.0,4,1,enc_large_orig,orig,no,encoder
509,0.5381526104417671,0.0,0.0,0.3200327157974243,0.5098979411092895,1,0.0,1,1,enc_large_pretr_orig,orig,yes,encoder
510,0.606425702811245,-0.0009703111136332154,0.002027717651799321,0.32437992095947266,0.508635283014805,2,4.0,1,1,enc_large_pretr_orig,orig,yes,encoder
511,0.5381526104417671,0.0027026196476072073,0.01806737668812275,0.3475464880466461,0.5169273907985295,3,8.0,1,1,enc_large_pretr_orig,orig,yes,encoder
512,0.5261044176706827,0.0006273514009080827,0.018567128106951714,0.3429239094257355,0.5096466142240152,4,12.0,1,1,enc_large_pretr_orig,orig,yes,encoder
513,0.5783132530120482,0.018625184893608093,0.07453603297472,0.39050692319869995,0.550309936093565,5,16.0,1,1,enc_large_pretr_orig,orig,yes,encoder
514,0.5783132530120482,0.04160313308238983,0.07082263380289078,0.38287127017974854,0.5310596514165791,6,20.0,2,1,enc_large_pretr_orig,orig,yes,encoder
515,0.5742971887550201,0.00788375735282898,0.10663637518882751,0.40742602944374084,0.5483108125981491,7,24.0,2,1,enc_large_pretr_orig,orig,yes,encoder
516,0.5502008032128514,0.03820477053523064,0.09688407182693481,0.42306745052337646,0.5645765135367786,8,28.0,2,1,enc_large_pretr_orig,orig,yes,encoder
517,0.5582329317269077,0.03190112113952637,0.06045917794108391,0.4058343172073364,0.5442966688724462,9,32.0,2,1,enc_large_pretr_orig,orig,yes,encoder
518,0.5060240963855422,0.09714414179325104,0.15486963093280792,0.4474867880344391,0.550067923585014,10,36.0,2,1,enc_large_pretr_orig,orig,yes,encoder
519,0.5341365461847389,0.007405291777104139,0.04200635477900505,0.37781351804733276,0.5173175973644234,11,40.0,2,1,enc_large_pretr_orig,orig,yes,encoder
520,0.5461847389558233,0.012856130488216877,0.031027302145957947,0.34731602668762207,0.5094529218462294,12,44.0,3,1,enc_large_pretr_orig,orig,yes,encoder
521,0.5783132530120482,0.007404155097901821,0.020030608400702477,0.3586854636669159,0.5144609511106093,13,48.0,3,1,enc_large_pretr_orig,orig,yes,encoder
522,0.6345381526104418,0.0003546398365870118,0.011957620270550251,0.3427621126174927,0.5104017465152569,14,52.0,3,2,enc_large_pretr_orig,orig,yes,encoder
523,0.6265060240963856,0.007694232743233442,0.026771266013383865,0.334041953086853,0.5519458799575745,15,56.0,3,2,enc_large_pretr_orig,orig,yes,encoder
